country	capital	lat	lng
Japan	Tokyo	35.6839	139.7744
Indonesia	Jakarta	-6.2146	106.8451
Philippines	Manila	14.6	120.9833
South Korea	Seoul	37.56	126.99
Mexico	Mexico City	19.4333	-99.1333
Egypt	Cairo	30.0444	31.2358
China	Beijing	39.904	116.4075
Russia	Moscow	55.7558	37.6178
Thailand	Bangkok	13.75	100.5167
Bangladesh	Dhaka	23.7289	90.3944
Argentina	Buenos Aires	-34.5997	-58.3819
Congo (Kinshasa)	Kinshasa	-4.3317	15.3139
Iran	Tehran	35.7	51.4167
United Kingdom	London	51.5072	-0.1275
France	Paris	48.8566	2.3522
Peru	Lima	-12.06	-77.0375
Angola	Luanda	-8.8383	13.2344
Malaysia	Kuala Lumpur	3.1478	101.6953
Vietnam	Hanoi	21.0245	105.8412
Colombia	Bogotá	4.6126	-74.0705
Tanzania	Dar es Salaam	-6.8	39.2833
Hong Kong	Hong Kong	22.3069	114.1831
Chile	Santiago	-33.45	-70.6667
Saudi Arabia	Riyadh	24.65	46.71
Iraq	Baghdad	33.35	44.4167
Sudan	Khartoum	15.6031	32.5265
Spain	Madrid	40.4167	-3.7167
Kenya	Nairobi	-1.2864	36.8172
Myanmar	Rangoon	16.795	96.16
United States	Washington	38.9047	-77.0163
Singapore	Singapore	1.3	103.8
Côte d'Ivoire	Abidjan	5.3364	-4.0267
Afghanistan	Kabul	34.5328	69.1658
Jordan	Amman	31.95	35.9333
Germany	Berlin	52.5167	13.3833
Algeria	Algiers	36.7764	3.0586
Ethiopia	Addis Ababa	9.0272	38.7369
Brazil	Brasília	-15.7939	-47.8828
Kuwait	Kuwait City	29.375	47.98
Ukraine	Kyiv	50.45	30.5236
Yemen	Sanaa	15.35	44.2
Guatemala	Guatemala City	14.6099	-90.5252
Italy	Rome	41.8931	12.4828
Bolivia	La Paz	-16.4942	-68.1475
North Korea	Pyongyang	39.03	125.73
Madagascar	Antananarivo	-18.9386	47.5214
Dominican Republic	Santo Domingo	18.4764	-69.8933
Uzbekistan	Tashkent	41.3	69.2667
Burkina Faso	Ouagadougou	12.3686	-1.5275
Cameroon	Yaoundé	3.8578	11.5181
Ghana	Accra	5.6037	-0.187
Azerbaijan	Baku	40.3667	49.8352
Zimbabwe	Harare	-17.8292	31.0522
Cuba	Havana	23.1367	-82.3589
Cambodia	Phnom Penh	11.5696	104.921
Somalia	Mogadishu	2.0408	45.3425
Mali	Bamako	12.6458	-7.9922
Ecuador	Quito	-0.22	-78.5125
Belarus	Minsk	53.9022	27.5618
Venezuela	Caracas	10.5	-66.9333
Austria	Vienna	48.2083	16.3725
Romania	Bucharest	44.4	26.0833
Congo (Brazzaville)	Brazzaville	-4.2667	15.2833
Poland	Warsaw	52.23	21.0111
Syria	Damascus	33.5131	36.2919
Belgium	Brussels	50.8353	4.3314
Zambia	Lusaka	-15.4167	28.2833
Hungary	Budapest	47.4983	19.0408
Guinea	Conakry	9.538	-13.6773
Uganda	Kampala	0.3136	32.5811
United Arab Emirates	Abu Dhabi	24.4511	54.3969
Oman	Muscat	23.6139	58.5922
Mongolia	Ulaanbaatar	47.9214	106.9055
Serbia	Belgrade	44.8167	20.4667
Czechia	Prague	50.0833	14.4167
Uruguay	Montevideo	-34.8667	-56.1667
Bulgaria	Sofia	42.6979	23.3217
Nigeria	Abuja	9.0556	7.4914
Mozambique	Maputo	-25.9153	32.5764
Qatar	Doha	25.3	51.5333
Senegal	Dakar	14.7319	-17.4572
Myanmar	Nay Pyi Taw	19.7475	96.115
Rwanda	Kigali	-1.9536	30.0606
Libya	Tripoli	32.8752	13.1875
Honduras	Tegucigalpa	14.0942	-87.2067
Georgia	Tbilisi	41.7225	44.7925
Chad	N’Djamena	12.11	15.05
Denmark	Copenhagen	55.6805	12.5615
Armenia	Yerevan	40.1814	44.5144
Kazakhstan	Nur-Sultan	51.1333	71.4333
Mauritania	Nouakchott	18.0858	-15.9785
Kyrgyzstan	Bishkek	42.8667	74.5667
Tunisia	Tunis	36.8008	10.18
Nepal	Kathmandu	27.7167	85.3667
Niger	Niamey	13.5086	2.1111
Nicaragua	Managua	12.15	-86.2667
Liberia	Monrovia	6.3106	-10.8047
Haiti	Port-au-Prince	18.5425	-72.3386
Pakistan	Islamabad	33.6989	73.0369
Canada	Ottawa	45.4247	-75.695
Sweden	Stockholm	59.3294	18.0686
Eritrea	Asmara	15.3333	38.9167
Sierra Leone	Freetown	8.4833	-13.2331
Laos	Vientiane	17.9667	102.6
Israel	Jerusalem	31.7833	35.2167
Central African Republic	Bangui	4.3732	18.5628
Panama	Panama City	9	-79.5
Netherlands	Amsterdam	52.3667	4.8833
Togo	Lomé	6.1319	1.2228
Gabon	Libreville	0.3901	9.4544
Croatia	Zagreb	45.8131	15.9772
Tajikistan	Dushanbe	38.5731	68.7864
Malawi	Lilongwe	-13.9833	33.7833
Benin	Cotonou	6.402	2.518
Sri Lanka	Colombo	6.9167	79.8333
South Africa	Pretoria	-25.7464	28.1881
Norway	Oslo	59.9111	10.7528
Greece	Athens	37.9842	23.7281
Burundi	Bujumbura	-3.3825	29.3611
Finland	Helsinki	60.1756	24.9342
Macedonia	Skopje	41.9833	21.4333
Moldova	Chisinau	47.0228	28.8353
Latvia	Riga	56.9475	24.1069
Jamaica	Kingston	17.9714	-76.7931
Morocco	Rabat	34.0253	-6.8361
Lithuania	Vilnius	54.6833	25.2833
El Salvador	San Salvador	13.6989	-89.1914
Djibouti	Djibouti	11.595	43.1481
Ireland	Dublin	53.3497	-6.2603
Netherlands	The Hague	52.08	4.31
Paraguay	Asunción	-25.3	-57.6333
Portugal	Lisbon	38.708	-9.139
Slovakia	Bratislava	48.1447	17.1128
Estonia	Tallinn	59.4372	24.745
Lebanon	Beirut	33.8869	35.5131
South Africa	Cape Town	-33.925	18.425
Albania	Tirana	41.33	19.82
New Zealand	Wellington	-41.2889	174.7772
Tanzania	Dodoma	-6.1835	35.746
Guinea-Bissau	Bissau	11.8592	-15.5956
Australia	Canberra	-35.2931	149.1269
South Sudan	Juba	4.85	31.6
Côte d'Ivoire	Yamoussoukro	6.8161	-5.2742
Lesotho	Maseru	-29.31	27.48
Cyprus	Nicosia	35.1725	33.365
Namibia	Windhoek	-22.57	17.0836
Papua New Guinea	Port Moresby	-9.4789	147.1494
Benin	Porto-Novo	6.4833	2.6167
Bolivia	Sucre	-19.0431	-65.2592
Costa Rica	San José	9.9333	-84.0833
Slovenia	Ljubljana	46.05	14.5167
Bosnia And Herzegovina	Sarajevo	43.8563	18.4132
The Bahamas	Nassau	25.0667	-77.3333
South Africa	Bloemfontein	-29.1	26.2167
Martinique	Fort-de-France	14.6104	-61.08
India	New Delhi	28.6139	77.209
Botswana	Gaborone	-24.6569	25.9086
Suriname	Paramaribo	5.8667	-55.1667
Timor-Leste	Dili	-8.5536	125.5783
Maldives	Male	4.175	73.5083
Guyana	Georgetown	6.7833	-58.1667
Gibraltar	Gibraltar	36.1324	-5.3781
Reunion	Saint-Denis	-20.8789	55.4481
Equatorial Guinea	Malabo	3.7521	8.7737
Montenegro	Podgorica	42.4397	19.2661
Bahrain	Manama	26.225	50.5775
Mauritius	Port Louis	-20.1667	57.5
Curaçao	Willemstad	12.108	-68.935
Switzerland	Bern	46.948	7.4474
French Polynesia	Papeete	-17.5334	-149.5667
Luxembourg	Luxembourg	49.6106	6.1328
Iceland	Reykjavík	64.1475	-21.935
Cabo Verde	Praia	14.9177	-23.5092
Sri Lanka	Sri Jayewardenepura Kotte	6.9	79.9164
Barbados	Bridgetown	13.0975	-59.6167
Comoros	Moroni	-11.7036	43.2536
Bhutan	Thimphu	27.4833	89.6333
Swaziland	Mbabane	-26.3208	31.1617
New Caledonia	Nouméa	-22.2625	166.4443
Solomon Islands	Honiara	-9.4333	159.95
Fiji	Suva	-18.1333	178.4333
Turkey	Ankara	39.93	32.85
Saint Lucia	Castries	14.0167	-60.9833
French Guiana	Cayenne	4.933	-52.33
Sao Tome And Principe	São Tomé	0.3333	6.7333
Vanuatu	Port-Vila	-17.7333	168.3167
Bermuda	Hamilton	32.2942	-64.7839
Brunei	Bandar Seri Begawan	4.9167	114.9167
Monaco	Monaco	43.7396	7.4069
Burundi	Gitega	-3.4283	29.925
Trinidad And Tobago	Port of Spain	10.6667	-61.5167
Samoa	Apia	-13.8333	-171.8333
Kiribati	Tarawa	1.3382	173.0176
Aruba	Oranjestad	12.5186	-70.0358
Jersey	Saint Helier	49.1858	-2.11
The Gambia	Banjul	13.4531	-16.5775
Mayotte	Mamoudzou	-12.7871	45.275
Marshall Islands	Majuro	7.0918	171.3802
Isle Of Man	Douglas	54.15	-4.4819
Cayman Islands	George Town	19.2866	-81.3744
Seychelles	Victoria	-4.6236	55.4544
Saint Vincent And The Grenadines	Kingstown	13.1667	-61.2333
Andorra	Andorra la Vella	42.5	1.5
Antigua And Barbuda	Saint John’s	17.1211	-61.8447
Tonga	Nuku‘alofa	-21.1347	-175.2083
Turkmenistan	Ashgabat	37.95	58.3833
Greenland	Nuuk	64.175	-51.7333
Belize	Belmopan	17.25	-88.7675
Dominica	Roseau	15.3	-61.3833
Saint Kitts And Nevis	Basseterre	17.2983	-62.7342
Faroe Islands	Tórshavn	62	-6.7833
American Samoa	Pago Pago	-14.274	-170.7046
Malta	Valletta	35.8978	14.5125
Gaza Strip	Gaza	31.5069	34.456
Turks And Caicos Islands	Grand Turk	21.4664	-71.136
Federated States of Micronesia	Palikir	6.9178	158.185
Tuvalu	Funafuti	-8.5243	179.1942
Liechtenstein	Vaduz	47.1397	9.5219
Swaziland	Lobamba	-26.4465	31.2064
Cook Islands	Avarua	-21.207	-159.771
Grenada	Saint George’s	12.0444	-61.7417
San Marino	San Marino	43.932	12.4484
West Bank	Al Quds	31.7764	35.2269
Northern Mariana Islands	Capitol Hill	15.2137	145.7546
Falkland Islands (Islas Malvinas)	Stanley	-51.7	-57.85
Vatican City	Vatican City	41.9033	12.4534
Niue	Alofi	-19.056	-169.921
Guadeloupe	Basse-Terre	16.0104	-61.7055
Guam	Hagåtña	13.4745	144.7504
Saint Martin	Marigot	18.0706	-63.0847
Saint Helena, Ascension, And Tristan Da Cunha	Jamestown	-15.9251	-5.7179
Montserrat	Brades	16.7928	-62.2106
Sint Maarten	Philipsburg	18.0256	-63.0492
Nauru	Yaren	-0.5477	166.9209
Kosovo	Pristina	42.6633	21.1622
Saint Barthelemy	Gustavia	17.8958	-62.8508
British Virgin Islands	Road Town	18.4167	-64.6167
Palau	Ngerulmud	7.5006	134.6242
Saint Pierre And Miquelon	Saint-Pierre	46.7811	-56.1764
Anguilla	The Valley	18.2167	-63.05
Wallis And Futuna	Mata-Utu	-13.2825	-176.1736
Norfolk Island	Kingston	-29.0569	167.9617
Svalbard	Longyearbyen	78.2167	15.6333
Morocco	Tifariti	26.0928	-10.6089
Pitcairn Islands	Adamstown	-25.0667	-130.0833
Christmas Island	Flying Fish Cove	-10.4167	105.7167
South Georgia And South Sandwich Islands	King Edward Point	-54.2833	-36.5
Puerto Rico	San Juan	18.4037	-66.0636
U.S. Virgin Islands	Charlotte Amalie	18.3419	-64.9332
