state	lat	long	division
NY	42.67	-73.8	New York
MD	38.98	-76.49	Maryland
GA	33.76	-84.42	Georgia
ME	44.32	-69.77	Maine
TX	30.31	-97.75	Texas
LA	30.45	-91.13	Louisiana
ND	46.81	-100.77	North Dakota
ID	43.61	-116.23	Idaho
MA	42.34	-71.02	Massachusetts
NV	39.15	-119.74	Nevada
WV	38.35	-81.63	West Virginia
WY	41.15	-104.79	Wyoming
SC	34.04	-80.89	South Carolina
OH	39.99	-82.99	Ohio
NH	43.23	-71.56	New Hampshire
CO	39.77	-104.87	Colorado
IA	41.58	-93.62	Iowa
DE	39.16	-75.53	Delaware
KY	38.2	-84.86	Kentucky
PA	40.28	-76.88	Pennsylvania
CT	41.77	-72.68	Connecticut
MT	46.6	-112.03	Montana
HI	21.32	-157.8	Hawaii
IN	39.78	-86.15	Indiana
MS	32.32	-90.21	Mississippi
MO	38.57	-92.19	Missouri
AK	58.3	-134.42	Alaska
MI	42.71	-84.55	Michigan
NE	40.82	-96.69	Nebraska
AR	34.72	-92.35	Arkansas
WI	43.08	-89.39	Wisconsin
AL	32.35	-86.28	Alabama
VT	44.26	-72.57	Vermont
TN	36.17	-86.78	Tennessee
OK	35.47	-97.51	Oklahoma
WA	47.04	-122.89	Washington
AZ	33.54	-112.07	Arizona
SD	44.37	-100.34	South Dakota
RI	41.82	-71.42	Rhode Island
NC	35.82	-78.66	North Carolina
VA	37.53	-77.47	Virginia
CA	38.57	-121.47	California
MN	44.95	-93.1	Minnesota
OR	44.92	-123.02	Oregon
UT	40.78	-111.93	Utah
NM	35.68	-105.95	New Mexico
IL	39.78	-89.64	Illinois
FL	30.46	-84.28	Florida
KS	39.04	-95.69	Kansas
NJ	40.22	-74.76	New Jersey
DC	38.905985	-77.033418	Washington DC
PR	18.220833	-66.590149	Puerto Rico
